,macid,tt,hr,br,temp,local
10197,54:6c:0e:d0:34:28,2021-11-20 15:21:57,0,0,2747,c003
10198,54:6c:0e:d0:34:28,2021-11-20 15:21:58,0,0,2748,c003
10199,54:6c:0e:d0:34:28,2021-11-20 15:21:59,0,0,2747,c003
10200,54:6c:0e:d0:34:28,2021-11-20 15:22:00,0,0,2747,c003
10201,54:6c:0e:d0:34:28,2021-11-20 15:22:01,0,0,2747,c003
10202,54:6c:0e:d0:34:28,2021-11-20 15:22:02,0,0,2747,c003
10203,54:6c:0e:d0:34:28,2021-11-20 15:22:03,0,0,2747,c003
10204,54:6c:0e:d0:34:28,2021-11-20 15:22:04,0,0,2747,c003
10205,54:6c:0e:d0:34:28,2021-11-20 15:22:05,0,0,2747,c003
10206,54:6c:0e:d0:34:28,2021-11-20 15:22:06,0,0,2747,c003
10207,54:6c:0e:d0:34:28,2021-11-20 15:22:07,0,0,2747,c003
10208,54:6c:0e:d0:34:28,2021-11-20 15:22:08,0,0,2747,c003
10209,54:6c:0e:d0:34:28,2021-11-20 15:22:09,0,0,2746,c003
10210,54:6c:0e:d0:34:28,2021-11-20 15:22:10,0,0,2746,c003
10211,54:6c:0e:d0:34:28,2021-11-20 15:22:11,0,0,2746,c003
10212,54:6c:0e:d0:34:28,2021-11-20 15:22:12,0,0,2746,c003
10213,54:6c:0e:d0:34:28,2021-11-20 15:22:13,0,0,2747,c003
10214,54:6c:0e:d0:34:28,2021-11-20 15:22:14,0,0,2746,c003
10215,54:6c:0e:d0:34:28,2021-11-20 15:22:15,0,0,2746,c003
10216,54:6c:0e:d0:34:28,2021-11-20 15:22:16,0,0,2746,c003
10217,54:6c:0e:d0:34:28,2021-11-20 15:22:17,0,0,2745,c003
10218,54:6c:0e:d0:34:28,2021-11-20 15:22:18,0,0,2745,c003
10219,54:6c:0e:d0:34:28,2021-11-20 15:22:19,0,0,2746,c003
10220,54:6c:0e:d0:34:28,2021-11-20 15:22:20,0,0,2745,c003
